run,method,source_url,optimizer_step,elapsed_gpu_hours,metric,reward_unsmoothed,reward_ema8
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,62,134.2993166185511,weighted,5.002903938293457,4.6370044241963555
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,63,137.2421230528,weighted,5.022552013397217,4.669003315252214
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,64,138.59065426130667,weighted,5.022552013397217,4.698346427728501
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,65,141.5310542738489,weighted,5.009069442749023,4.7241351816584585
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,66,142.86855658087111,weighted,5.009069442749023,4.747783573281439
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,67,145.81487475484445,weighted,5.039228439331055,4.771972318792313
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,68,147.16380098381333,weighted,5.039228439331055,4.794153496225834
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,69,150.10666419617777,weighted,5.031030654907227,4.813813342653555
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,70,151.44270246893333,weighted,5.031030654907227,4.831841501316558
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,71,154.39047901163556,weighted,5.064140319824219,4.851121364021026
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,72,155.7458564467289,weighted,5.064140319824219,4.868801076073454
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,73,158.68688721999112,weighted,5.065371036529541,4.885115588018727
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,74,160.0334860822222,weighted,5.065371036529541,4.900076061435453
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,75,162.9726676062489,weighted,5.098560810089111,4.916549493059244
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,76,164.3247479280889,weighted,5.098560810089111,4.931655696463716
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,77,167.26796810491558,weighted,5.106046676635742,4.946129442719569
